皮革装备声音,item.armor.equip_leather
锁链装备声音,item.armor.equip_chain
铁装备声音,item.armor.equip_iron
金装备声音,item.armor.equip_gold
钻石装备声音,item.armor.equip_diamond
下界合金装备声音,item.armor.equip_netherite
通用装备声音,item.armor.equip_generic
海龟壳装备声音,item.armor.equip_turtle
鞘翅装备声音,item.armor.equip_elytra
吃东西,entity.generic.eat
喝东西,entity.generic.drink
<以下音效仅供参考awa>,你为什么要选择这个？
玄武岩三角洲：环境附加音效,ambient.basalt_deltas.additions
玄武岩三角洲：环境循环音效,ambient.basalt_deltas.loop
玄武岩三角洲：怪异的噪声,ambient.basalt_deltas.mood
蜡烛：噼啪作响,ambient.candle
洞穴：怪异的噪声,ambient.cave
绯红森林：环境附加音效,ambient.crimson_forest.additions
绯红森林：环境循环音效,ambient.crimson_forest.loop
绯红森林：怪异的噪声,ambient.crimson_forest.mood
下界荒地：环境附加音效,ambient.nether_wastes.additions
下界荒地：环境循环音效,ambient.nether_wastes.loop
下界荒地：怪异的噪声,ambient.nether_wastes.mood
灵魂沙峡谷：环境附加音效,ambient.soulsand_valley.additions
灵魂沙峡谷：环境循环音效,ambient.soulsand_valley.loop
灵魂沙峡谷：怪异的噪声,ambient.soulsand_valley.mood
玩家：进入水中,ambient.underwater.enter
玩家：离开水中,ambient.underwater.exit
诡异森林：环境附加音效,ambient.warped_forest.additions
诡异森林：环境循环音效,ambient.warped_forest.loop
诡异森林：怪异的噪声,ambient.warped_forest.mood
电闪,ambient.weather.lightning.impact
雨：落下,ambient.weather.rain
雷鸣,ambient.weather.thunder
不祥之兆：显现,apply_effect.bad_omen
袭击：迫在眉睫,apply_effect.raid_omen
不祥试炼：迫在眉睫,apply_effect.trial_omen
狼铠：损坏,armor.break_wolf
狼铠：裂开,armor.crack_wolf
狼铠：受损,armor.damage_wolf
锁链盔甲：碰擦,armor.equip_chain
钻石盔甲：碰擦,armor.equip_diamond
盔甲：装备,armor.equip_generic
金盔甲：叮当,armor.equip_gold
铁盔甲：铿锵,armor.equip_iron
皮革盔甲：摩擦,armor.equip_leather
下界合金盔甲：铿锵,armor.equip_netherite
狼铠：装备,armor.equip_wolf
狼铠：被修复,armor.repair_wolf
狼铠：滑落,armor.unequip_wolf
信标：激活,beacon.activate
信标：嗡嗡作响,beacon.ambient
信标：失效,beacon.deactivate
信标：选择效果,beacon.power
竹子：被破坏,block.bamboo.break
竹子：某物摔落,block.bamboo.fall
竹子：损坏中,block.bamboo.hit
竹子：被放置,block.bamboo.place
竹子：被踩上,block.bamboo.step
竹笋：被破坏,block.bamboo_sapling.break
竹笋：被放置,block.bamboo_sapling.place
木桶：关闭,block.barrel.close
木桶：打开,block.barrel.open
蜂蜜：滴落,block.beehive.drip
蜜蜂：入巢,block.beehive.enter
蜜蜂：离巢,block.beehive.exit
剪刀：刮削,block.beehive.shear
蜜蜂：工作,block.beehive.work
钟：响起,block.bell.hit
高炉：噼啪作响,block.blastfurnace.fire_crackle
箭：击中,block.bowhit
营火：噼啪作响,block.campfire.crackle
地图：绘制,block.cartography_table.use
洞穴藤蔓：被放置,block.cave_vines.place
紫颂花：凋零,block.chorusflower.death
紫颂花：生长,block.chorusflower.grow
堆肥桶：清空,block.composter.empty
堆肥桶：填充,block.composter.fill
堆肥桶：堆肥,block.composter.fill_success
堆肥桶：堆肥,block.composter.ready
铜灯：熄灭,block.copper_bulb.turn_off
铜灯：亮起,block.copper_bulb.turn_on
箱子：关闭,block.copper_chest.closed
箱子：开启,block.copper_chest.open
怪异的噪声,block.creaking_heart.ambient
嘎枝之心：被破坏,block.creaking_heart.break
嘎枝之心：某物摔落,block.creaking_heart.fall
嘎枝之心：损坏中,block.creaking_heart.hit
嘎枝之心：被放置,block.creaking_heart.place
嘎枝之心：苏醒,block.creaking_heart.spawn_mob
嘎枝之心：被踩上,block.creaking_heart.step
嘎枝之心：咕哝,block.creaking_heart.trail
干枯声,block.deadbush.ambient
饰纹陶罐：装入,block.decorated_pot.insert
饰纹陶罐：晃动,block.decorated_pot.insert_fail
干燥声,block.dried_ghast.ambient
失水恶魂：补水,block.dried_ghast.ambient_water
失水恶魂：浸泡,block.dried_ghast.place_in_water
失水恶魂：恢复,block.dried_ghast.state_change
风声,block.dry_grass.ambient.attached
附魔台：使用,block.enchanting_table.use
末地传送门：开启,block.end_portal.spawn
末影之眼：嵌入,block.end_portal_frame.fill
眼眸花：沙沙作响,block.eyeblossom.ambient
眼眸花：闭合,block.eyeblossom.close
眼眸花：闭合,block.eyeblossom.close_long
眼眸花：张开,block.eyeblossom.open
眼眸花：张开,block.eyeblossom.open_long
