水下速掘, aqua_affinity
节肢杀手, bane_of_arthropods
绑定诅咒, binding
爆炸保护, blast_protection
破甲, breach
引雷, channeling
致密, density
深海探索者, depth_strider
效率, efficiency
摔落缓冲, feather_falling
火焰附加, fire_aspect
火焰保护, fire_protection
火矢, flame
时运, fortune
冰霜行者, frost_walker
穿刺, impaling
无限, infinity
击退, knockback
抢夺, looting
忠诚, loyalty
海之眷顾, luck_of_the_sea
突进, lunge
饵钓, lure
经验修补, mending
多重射击, multishot
穿透, piercing
力量, power
弹射物保护, projectile_protection
保护, protection
冲击, punch
快速装填, quick_charge
水下呼吸, respiration
激流, riptide
锋利, sharpness
精准采集, silk_touch
亡灵杀手, smite
灵魂疾行, soul_speed
迅捷潜行, swift_sneak
荆棘, thorns
耐久, unbreaking
消失诅咒, vanishing
风爆, wind_burst
