伤害吸收, absorption
不祥之兆, bad_omen
失明, blindness
鹦鹉螺之息, breath_of_the_nautilus
潮涌能量, conduit_power
黑暗, darkness
中毒（致命）, fatal_poison
抗火, fire_resistance
急迫, haste
生命提升, health_boost
饥饿, hunger
寄生, infested
瞬间伤害, instant_damage
瞬间治疗, instant_health
隐身, invisibility
跳跃提升, jump_boost
飘浮, levitation
挖掘疲劳, mining_fatigue
反胃, nausea
夜视, night_vision
渗浆, oozing
中毒, poison
袭击之兆, raid_omen
生命恢复, regeneration
抗性提升, resistance
饱和, saturation
缓降, slow_falling
缓慢, slowness
迅捷, speed
力量, strength
试炼之兆, trial_omen
村庄英雄, village_hero
水下呼吸, water_breathing
虚弱, weakness
盘丝, weaving
蓄风, wind_charged
凋零, wither
