金合欢木船, acacia_boat
金合欢木按钮, acacia_button
金合欢木运输船, acacia_chest_boat
金合欢木门, acacia_door
金合欢木栅栏, acacia_fence
金合欢木栅栏门, acacia_fence_gate
悬挂式金合欢木告示牌, acacia_hanging_sign
金合欢树叶, acacia_leaves
金合欢原木, acacia_log
金合欢木板, acacia_planks
金合欢木压力板, acacia_pressure_plate
金合欢树苗, acacia_sapling
金合欢木展示架, acacia_shelf
金合欢木告示牌, acacia_sign
金合欢木台阶, acacia_slab
金合欢木楼梯, acacia_stairs
金合欢木活板门, acacia_trapdoor
金合欢木, acacia_wood
激活铁轨, activator_rail
空气, air
悦灵刷怪蛋, allay_spawn_egg
绒球葱, allium
允许方块, allow
紫水晶块, amethyst_block
紫水晶簇, amethyst_cluster
紫水晶碎片, amethyst_shard
远古残骸, ancient_debris
安山岩, andesite
安山岩台阶, andesite_slab
安山岩楼梯, andesite_stairs
安山岩墙, andesite_wall
垂钓纹样陶片, angler_pottery_sherd
铁砧, anvil
苹果, apple
弓箭纹样陶片, archer_pottery_sherd
犰狳鳞甲, armadillo_scute
犰狳刷怪蛋, armadillo_spawn_egg
盔甲架, armor_stand
举臂纹样陶片, arms_up_pottery_sherd
箭, arrow
美西螈桶, axolotl_bucket
美西螈刷怪蛋, axolotl_spawn_egg
杜鹃花丛, azalea
杜鹃树叶, azalea_leaves
盛开的杜鹃树叶, azalea_leaves_flowered
蓝花美耳草, azure_bluet
烤马铃薯, baked_potato
竹子, bamboo
竹块, bamboo_block
竹按钮, bamboo_button
运输竹筏, bamboo_chest_raft
竹门, bamboo_door
竹栅栏, bamboo_fence
竹栅栏门, bamboo_fence_gate
悬挂式竹告示牌, bamboo_hanging_sign
竹马赛克, bamboo_mosaic
竹马赛克台阶, bamboo_mosaic_slab
竹马赛克楼梯, bamboo_mosaic_stairs
竹板, bamboo_planks
竹压力板, bamboo_pressure_plate
竹筏, bamboo_raft
竹展示架, bamboo_shelf
竹告示牌, bamboo_sign
竹台阶, bamboo_slab
竹楼梯, bamboo_stairs
竹活板门, bamboo_trapdoor
旗帜, banner
木桶, barrel
屏障, barrier
玄武岩, basalt
蝙蝠刷怪蛋, bat_spawn_egg
信标, beacon
床, bed
基岩, bedrock
蜂巢, bee_nest
蜜蜂刷怪蛋, bee_spawn_egg
生牛肉, beef
蜂箱, beehive
甜菜根, beetroot
甜菜种子, beetroot_seeds
甜菜汤, beetroot_soup
钟, bell
大型垂滴叶, big_dripleaf
白桦木船, birch_boat
白桦木按钮, birch_button
白桦木运输船, birch_chest_boat
白桦木门, birch_door
白桦木栅栏, birch_fence
白桦木栅栏门, birch_fence_gate
悬挂式白桦木告示牌, birch_hanging_sign
白桦树叶, birch_leaves
白桦原木, birch_log
白桦木板, birch_planks
白桦木压力板, birch_pressure_plate
白桦树苗, birch_sapling
白桦木展示架, birch_shelf
白桦木告示牌, birch_sign
白桦木台阶, birch_slab
白桦木楼梯, birch_stairs
白桦木活板门, birch_trapdoor
白桦木, birch_wood
黑色收纳袋, black_bundle
黑色蜡烛, black_candle
黑色地毯, black_carpet
黑色混凝土, black_concrete
黑色混凝土粉末, black_concrete_powder
黑色染料, black_dye
黑色带釉陶瓦, black_glazed_terracotta
黑色挽具, black_harness
黑色潜影盒, black_shulker_box
黑色染色玻璃, black_stained_glass
黑色染色玻璃板, black_stained_glass_pane
黑色陶瓦, black_terracotta
黑色羊毛, black_wool
黑石, blackstone
黑石台阶, blackstone_slab
黑石楼梯, blackstone_stairs
黑石墙, blackstone_wall
利刃纹样陶片, blade_pottery_sherd
高炉, blast_furnace
烈焰粉, blaze_powder
烈焰棒, blaze_rod
烈焰人刷怪蛋, blaze_spawn_egg
蓝色收纳袋, blue_bundle
蓝色蜡烛, blue_candle
蓝色地毯, blue_carpet
蓝色混凝土, blue_concrete
蓝色混凝土粉末, blue_concrete_powder
蓝色染料, blue_dye
蓝色鸡蛋, blue_egg
蓝色带釉陶瓦, blue_glazed_terracotta
蓝色挽具, blue_harness
蓝冰, blue_ice
兰花, blue_orchid
蓝色潜影盒, blue_shulker_box
蓝色染色玻璃, blue_stained_glass
蓝色染色玻璃板, blue_stained_glass_pane
蓝色陶瓦, blue_terracotta
蓝色羊毛, blue_wool
沼骸刷怪蛋, bogged_spawn_egg
镶铆盔甲纹饰 锻造模板, bolt_armor_trim_smithing_template
骨头, bone
骨块, bone_block
骨粉, bone_meal
书, book
书架, bookshelf
边界, border_block
波纹边旗帜图案, bordure_indented_banner_pattern
弓, bow
碗, bowl
脑纹珊瑚, brain_coral
脑纹珊瑚块, brain_coral_block
脑纹珊瑚扇, brain_coral_fan
面包, bread
旋风棒, breeze_rod
旋风人刷怪蛋, breeze_spawn_egg
佳酿纹样陶片, brewer_pottery_sherd
酿造台, brewing_stand
红砖, brick
红砖块, brick_block
红砖台阶, brick_slab
红砖楼梯, brick_stairs
红砖墙, brick_wall
棕色收纳袋, brown_bundle
棕色蜡烛, brown_candle
棕色地毯, brown_carpet
棕色混凝土, brown_concrete
棕色混凝土粉末, brown_concrete_powder
棕色染料, brown_dye
棕色鸡蛋, brown_egg
棕色带釉陶瓦, brown_glazed_terracotta
棕色挽具, brown_harness
棕色蘑菇, brown_mushroom
棕色蘑菇方块, brown_mushroom_block
棕色潜影盒, brown_shulker_box
棕色染色玻璃, brown_stained_glass
棕色染色玻璃板, brown_stained_glass_pane
棕色陶瓦, brown_terracotta
棕色羊毛, brown_wool
刷子, brush
气泡珊瑚, bubble_coral
气泡珊瑚块, bubble_coral_block
气泡珊瑚扇, bubble_coral_fan
铁桶, bucket
紫水晶母岩, budding_amethyst
收纳袋, bundle
烈焰纹样陶片, burn_pottery_sherd
灌木丛, bush
仙人掌, cactus
仙人掌花, cactus_flower
蛋糕, cake
方解石, calcite
校频幽匿感测体, calibrated_sculk_sensor
骆驼尸壳刷怪蛋, camel_husk_spawn_egg
骆驼刷怪蛋, camel_spawn_egg
营火, campfire
蜡烛, candle
胡萝卜, carrot
胡萝卜钓竿, carrot_on_a_stick
制图台, cartography_table
雕刻南瓜, carved_pumpkin
猫刷怪蛋, cat_spawn_egg
炼药锅, cauldron
洞穴蜘蛛刷怪蛋, cave_spider_spawn_egg
连锁型命令方块, chain_command_block
锁链靴子, chainmail_boots
锁链胸甲, chainmail_chestplate
锁链头盔, chainmail_helmet
锁链护腿, chainmail_leggings
木炭, charcoal
樱花木船, cherry_boat
樱花木按钮, cherry_button
樱花木运输船, cherry_chest_boat
樱花木门, cherry_door
樱花木栅栏, cherry_fence
樱花木栅栏门, cherry_fence_gate
悬挂式樱花木告示牌, cherry_hanging_sign
樱花树叶, cherry_leaves
樱花原木, cherry_log
樱花木板, cherry_planks
樱花木压力板, cherry_pressure_plate
樱花树苗, cherry_sapling
樱花木展示架, cherry_shelf
樱花木告示牌, cherry_sign
樱花木台阶, cherry_slab
樱花木楼梯, cherry_stairs
樱花木活板门, cherry_trapdoor
樱花木, cherry_wood
箱子, chest
运输矿车, chest_minecart
鸡, chicken
鸡刷怪蛋, chicken_spawn_egg
开裂的铁砧, chipped_anvil
雕纹书架, chiseled_bookshelf
雕纹铜块, chiseled_copper
雕纹深板岩, chiseled_deepslate
雕纹下界砖块, chiseled_nether_bricks
雕纹磨制黑石, chiseled_polished_blackstone
雕纹石英块, chiseled_quartz_block
雕纹红砂岩, chiseled_red_sandstone
雕纹树脂砖块, chiseled_resin_bricks
雕纹砂岩, chiseled_sandstone
雕纹石砖, chiseled_stone_bricks
雕纹凝灰岩, chiseled_tuff
雕纹凝灰岩砖, chiseled_tuff_bricks
紫颂花, chorus_flower
紫颂果, chorus_fruit
紫颂植株, chorus_plant
黏土, clay
黏土球, clay_ball
时钟, clock
闭合的眼眸花, closed_eyeblossom
煤炭, coal
煤炭块, coal_block
煤矿石, coal_ore
砂土, coarse_dirt
海岸盔甲纹饰 锻造模板, coast_armor_trim_smithing_template
深板岩圆石, cobbled_deepslate
深板岩圆石台阶, cobbled_deepslate_slab
深板岩圆石楼梯, cobbled_deepslate_stairs
深板岩圆石墙, cobbled_deepslate_wall
圆石, cobblestone
圆石台阶, cobblestone_slab
圆石墙, cobblestone_wall
可可豆, cocoa_beans
鳕鱼, cod
鳕鱼桶, cod_bucket
鳕鱼刷怪蛋, cod_spawn_egg
命令方块, command_block
命令方块矿车, command_block_minecart
红石比较器, comparator
指南针, compass
堆肥桶, composter
潮涌核心, conduit
牛排, cooked_beef
熟鸡肉, cooked_chicken
熟鳕鱼, cooked_cod
熟羊肉, cooked_mutton
熟猪排, cooked_porkchop
熟兔肉, cooked_rabbit
熟鲑鱼, cooked_salmon
曲奇, cookie
铜斧, copper_axe
铜栏杆, copper_bars
铜块, copper_block
铜靴子, copper_boots
铜灯, copper_bulb
铜链, copper_chain
铜箱子, copper_chest
铜胸甲, copper_chestplate
铜门, copper_door
铜傀儡刷怪蛋, copper_golem_spawn_egg
铜傀儡像, copper_golem_statue
铜格栅, copper_grate
铜头盔, copper_helmet
铜锄, copper_hoe
铜马铠, copper_horse_armor
铜锭, copper_ingot
铜灯笼, copper_lantern
铜护腿, copper_leggings
铜鹦鹉螺铠, copper_nautilus_armor
铜粒, copper_nugget
铜矿石, copper_ore
铜镐, copper_pickaxe
铜锹, copper_shovel
铜矛, copper_spear
铜剑, copper_sword
铜火把, copper_torch
铜活板门, copper_trapdoor
矢车菊, cornflower
牛刷怪蛋, cow_spawn_egg
裂纹深板岩砖, cracked_deepslate_bricks
裂纹深板岩瓦, cracked_deepslate_tiles
裂纹下界砖块, cracked_nether_bricks
裂纹磨制黑石砖, cracked_polished_blackstone_bricks
裂纹石砖, cracked_stone_bricks
合成器, crafter
工作台, crafting_table
嘎枝之心, creaking_heart
嘎枝刷怪蛋, creaking_spawn_egg
苦力怕盾徽旗帜图案, creeper_banner_pattern
苦力怕的头, creeper_head
苦力怕刷怪蛋, creeper_spawn_egg
绯红木按钮, crimson_button
绯红木门, crimson_door
绯红木栅栏, crimson_fence
绯红木栅栏门, crimson_fence_gate
绯红菌, crimson_fungus
悬挂式绯红木告示牌, crimson_hanging_sign
绯红菌核, crimson_hyphae
绯红菌岩, crimson_nylium
绯红木板, crimson_planks
绯红木压力板, crimson_pressure_plate
绯红菌索, crimson_roots
绯红木展示架, crimson_shelf
绯红木告示牌, crimson_sign
绯红木台阶, crimson_slab
绯红木楼梯, crimson_stairs
绯红菌柄, crimson_stem
绯红木活板门, crimson_trapdoor
弩, crossbow
哭泣的黑曜石, crying_obsidian
切制铜块, cut_copper
切制铜台阶, cut_copper_slab
切制铜楼梯, cut_copper_stairs
切制红砂岩, cut_red_sandstone
切制红砂岩台阶, cut_red_sandstone_slab
切制砂岩, cut_sandstone
切制砂岩台阶, cut_sandstone_slab
青色收纳袋, cyan_bundle
青色蜡烛, cyan_candle
青色地毯, cyan_carpet
青色混凝土, cyan_concrete
青色混凝土粉末, cyan_concrete_powder
青色染料, cyan_dye
青色带釉陶瓦, cyan_glazed_terracotta
青色挽具, cyan_harness
青色潜影盒, cyan_shulker_box
青色染色玻璃, cyan_stained_glass
青色染色玻璃板, cyan_stained_glass_pane
青色陶瓦, cyan_terracotta
青色羊毛, cyan_wool
损坏的铁砧, damaged_anvil
蒲公英, dandelion
危机纹样陶片, danger_pottery_sherd
深色橡木船, dark_oak_boat
深色橡木按钮, dark_oak_button
深色橡木运输船, dark_oak_chest_boat
深色橡木门, dark_oak_door
深色橡木栅栏, dark_oak_fence
深色橡木栅栏门, dark_oak_fence_gate
悬挂式深色橡木告示牌, dark_oak_hanging_sign
深色橡树树叶, dark_oak_leaves
深色橡木原木, dark_oak_log
深色橡木木板, dark_oak_planks
深色橡木压力板, dark_oak_pressure_plate
深色橡树树苗, dark_oak_sapling
深色橡木展示架, dark_oak_shelf
深色橡木告示牌, dark_oak_sign
深色橡木台阶, dark_oak_slab
深色橡木楼梯, dark_oak_stairs
深色橡木活板门, dark_oak_trapdoor
深色橡木, dark_oak_wood
暗海晶石, dark_prismarine
暗海晶石台阶, dark_prismarine_slab
暗海晶石楼梯, dark_prismarine_stairs
阳光探测器, daylight_detector
失活的脑纹珊瑚, dead_brain_coral
失活的脑纹珊瑚块, dead_brain_coral_block
失活的脑纹珊瑚扇, dead_brain_coral_fan
失活的气泡珊瑚, dead_bubble_coral
失活的气泡珊瑚块, dead_bubble_coral_block
失活的气泡珊瑚扇, dead_bubble_coral_fan
失活的火珊瑚, dead_fire_coral
失活的火珊瑚块, dead_fire_coral_block
失活的火珊瑚扇, dead_fire_coral_fan
失活的鹿角珊瑚, dead_horn_coral
失活的鹿角珊瑚块, dead_horn_coral_block
失活的鹿角珊瑚扇, dead_horn_coral_fan
失活的管珊瑚, dead_tube_coral
失活的管珊瑚块, dead_tube_coral_block
失活的管珊瑚扇, dead_tube_coral_fan
枯萎的灌木, deadbush
饰纹陶罐, decorated_pot
深板岩, deepslate
深板岩砖台阶, deepslate_brick_slab
深板岩砖楼梯, deepslate_brick_stairs
深板岩砖墙, deepslate_brick_wall
深板岩砖, deepslate_bricks
深层煤矿石, deepslate_coal_ore
深层铜矿石, deepslate_copper_ore
深层钻石矿石, deepslate_diamond_ore
深层绿宝石矿石, deepslate_emerald_ore
深层金矿石, deepslate_gold_ore
深层铁矿石, deepslate_iron_ore
深层青金石矿石, deepslate_lapis_ore
深层红石矿石, deepslate_redstone_ore
深板岩瓦台阶, deepslate_tile_slab
深板岩瓦楼梯, deepslate_tile_stairs
深板岩瓦墙, deepslate_tile_wall
深板岩瓦, deepslate_tiles
拒绝方块, deny
探测铁轨, detector_rail
钻石, diamond
钻石斧, diamond_axe
钻石块, diamond_block
钻石靴子, diamond_boots
钻石胸甲, diamond_chestplate
钻石头盔, diamond_helmet
钻石锄, diamond_hoe
钻石马铠, diamond_horse_armor
钻石护腿, diamond_leggings
钻石鹦鹉螺铠, diamond_nautilus_armor
钻石矿石, diamond_ore
钻石镐, diamond_pickaxe
钻石锹, diamond_shovel
钻石矛, diamond_spear
钻石剑, diamond_sword
闪长岩, diorite
闪长岩台阶, diorite_slab
闪长岩楼梯, diorite_stairs
闪长岩墙, diorite_wall
泥土, dirt
缠根泥土, dirt_with_roots
唱片残片 Samuel Åberg - 5, disc_fragment_5
发射器, dispenser
海豚刷怪蛋, dolphin_spawn_egg
驴刷怪蛋, donkey_spawn_egg
龙息, dragon_breath
龙蛋, dragon_egg
龙首, dragon_head
失水恶魂, dried_ghast
干海带, dried_kelp
干海带块, dried_kelp_block
滴水石块, dripstone_block
投掷器, dropper
溺尸刷怪蛋, drowned_spawn_egg
沙丘盔甲纹饰 锻造模板, dune_armor_trim_smithing_template
回响碎片, echo_shard
鸡蛋, egg
远古守卫者刷怪蛋, elder_guardian_spawn_egg
鞘翅, elytra
绿宝石, emerald
绿宝石块, emerald_block
绿宝石矿石, emerald_ore
空地图, empty_map
